County,Constituency,Ward,Latitude,Longitude
Kirinyaga,Gichugu,Kabare,-0.483462944,37.31391062240999
Nandi,Emgwen,Kilibwoni,0.2196564543376516,35.201456280934025
Nairobi,Starehe,Ziwani/Kariokor,-1.281663406,36.837897323516174
Migori,Nyatike,Kaler,-1.072223826,34.23809537761851
Nairobi,Starehe,Landimawe,-1.303489984,36.84135199190776
Kisumu,Seme,North Seme,-0.055277912,34.51084837042443
Kiambu,Gatundu North,Githobokoni,-0.876555111,36.74653730435684
Kiambu,Githunguri,Komothai,-1.03752098,36.83634771401484
Migori,Kuria West,Makerero,-1.228249056,34.50636732433175
Machakos,Mwala,Wamunyu,-1.409006799,37.57947530624244
Nandi,Aldai,Kobujoi,0.040093647,34.971222405268826
Lamu,Lamu East,Kiunga,-1.810148915,41.37231493688214
Meru,Tigania East,Muthara,0.3504731620016464,37.70106939940568
Kilifi,Magarini,Sabaki,-3.180031782,40.10731081738022
Uasin Gishu,Ainabkoi,Kaptagat,0.4229462459088742,35.42462893931707
Lamu,Lamu East,Basuba,-1.851041877,41.01524004
Tharaka,Tharaka,Chiakariga,-0.288002638,37.904290004907885
Kajiado,Kajiado Central,Matapato North,-2.197521067,36.827159551978646
Nakuru,Subukia,Waseges,0.098783835,36.23732144517553
Kiambu,Kiambu,Ting'ang'a,-1.137964484,36.85655938427646
Bomet,Bomet Central,Mutarakwa,-0.773090764,35.250129551112614
Kilifi,Kaloleni,Mariakani,-3.836121812,39.47116875194005
Nairobi,Dagoretti,Uthiru/Ruthimitu,-1.272515591,36.70619048761487
Siaya,Ugenya,West Ugenya,0.209104397,34.14910763125302
Kericho,Kipkelion East,Chepseon,-0.296740004,35.402065031533446
Kwale,Lunga Lunga,Dzombo,-4.453000463,39.21814409
Kisumu,Kisumu West,Kisumu North,-0.038010993,34.715690451973025
Kilifi,Kilifi South,Chasimba,-3.721712646,39.72577876247538
Makueni,Mbooni,Kithungo/Kitundu,-1.636855358,37.45239663228766
Taita Taveta,Mwatate,Chawia,-3.928922182,38.36385641307101
Taita Taveta,Taveta,Bomeni,-3.407635904,37.68466465037618
Kwale,Kinango,Chengoni/Samburu,-3.83834287,39.23895506779797
Nairobi,Makadara,Viwandani,-1.305376395,36.87249835537485
Meru,Buuri,Timau,0.023294117,37.19220933542776
Nairobi,Dagoretti,Mutuini,-1.294802274,36.69791594753025
Meru,South Imenti,Igoji West,-0.183031188,37.62431075060736
Kisumu,Muhoroni,Miwani,-0.056542712,34.93125058940447
Narok,Narok South,Loita,-1.846514006,35.853882450544035
Busia,Funyula,Ageng'A Nanguba,0.231508134,34.06138927405035
Nairobi,Langata,Mugumo-Ini,-1.372291048,36.85005092903125
Kisii,Nyaribari Masaba,Nyamasibi,-0.843396384,34.97151034200757
Busia,Budalangi,Bunyala South,0.035730033,34.00730951838571
Kakamega,Mumias East,Mumias North,0.358215733,34.52620278246616
Nyeri,Othaya,Mahiga,-0.506240554,36.76852805
Busia,Nambale,Bukhayo Central,0.4297857965438737,34.30571008142268
Kirinyaga,Gichugu,Ngariama,-0.443354655,37.39704193
Kitui,Kitui East,Chuluni,-1.46938567,38.13607347734941
Bungoma,Bumula,West Bukusu,0.5972736218316937,34.47856388940913
Kericho,Ainamoi,Kipchebor,-0.380681071,35.26248477366442
Nairobi,Dagoretti,Waithaka,-1.285414154,36.71883017705551
Kakamega,Lurambi,Butsotso East,0.3236867506899156,34.74662789
Bomet,Sotik,Rongena/Manaret,-0.714202914,35.08674146922563
Kakamega,Likuyani,Nzoia,0.8247804317999173,35.07552568173878
Kirinyaga,Gichugu,Njukiini,-0.510464721,37.39954935855677
Kakamega,Lurambi,Sheywe,0.2975012615480877,34.7511595
Taita Taveta,Taveta,Chala,-3.262245959,37.752558423406185
Homa Bay,Karachuonyo,North Karachuonyo,-0.364010367,34.54065585116609
Kiambu,Gatundu North,Gituamba,-0.899297088,36.85039579
Embu,Manyatta,Gaturi South,-0.481034487,37.50288828822077
Murang'a,Kangema,Muguru,-0.68777394,37.01668797801653
Kisii,Nyaribari Chache,Kiogoro,-0.744677889,34.79224016841318
Kakamega,Lurambi,Butsotso South,0.2335476954502178,34.625999389325365
Bungoma,Kabuchai,Mukuyuni,0.7596356636716667,34.62049935712143
